"sdist","Returns the distance between two objects in radians. dist(SPoint, SPoint), dist(SCircle, SCircle), dist(SCircle, SPoint), dist(SPoint, SCircle)"
"sarea","Returns the area of a spherical object in square radians. sarea(SCircle), sarea(SPoly), sarea(SBox)"
"scenter","Returns the center of an object. scenter(SCircle), scenter(SEllipse)"
"scircum","Returns the circumference of an object. scircum(SCircle), scircum(SPoly), scircum(SBox)"
"slength","Returns the length of an object. slength(SLine), slength(SPath)"
"sswap","Changes the direction of sline or spath objects. sswap(SLine), sswap(SPath)"
"snpoints","Returns the number of points on spherical path or polygon. snpoints(SPoly), snpoints(SPath)"
"sstr","Returns a string representation of a mysql_sphere object. sstr(SPoint), sstr(SCircle), sstr(SLine), sstr(SEuler), sstr(SPoly), sstr(SPath), sstr(SEllipse), sstr(SBox)"
"mysql_sphere_version","Returns the version number of mysql_sphere."
"srcontainsl","Returns true if the left object is contained by the right object. srcontainsl(SBox, SBox), srcontainsl(SPoint, SBox), srcontainsl(SCircle, SBox), srcontainsl(SBox, SCircle), srcontainsl(SLine, SBox), srcontainsl(SEllipse, SBox), srcontainsl(SBox, SEllipse), srcontainsl(SPoly, SBox), srcontainsl(SBox, SPoly), srcontainsl(SPath, SBox), srcontainsl(SCircle, SCircle), srcontainsl(SPoint, SCircle), srcontainsl(SEllipse, SEllipse), srcontainsl(SPoint, SEllipse), srcontainsl(SCircle, SEllipse),	srcontainsl(SEllipse, SCircle), srcontainsl(SLine, SEllipse), srcontainsl(SPoint, SLine), srcontainsl(SLine, SCircle), srcontainsl(SPoint, SPath), srcontainsl(SPath, SCircle), srcontainsl(SPath, SEllipse), srcontainsl(SPath, SPoly), srcontainsl(SPoly, SPoly), srcontainsl(SPoint, SPoly), srcontainsl(SCircle, SPoly), srcontainsl(SPoly, SCircle), srcontainsl(SLine, SPoly), srcontainsl(SEllipse, SPoly), srcontainsl(SPoly, SEllipse)"
"slcontainsr","Returns true if the right object is contained by the left object. slcontainsr(SBox, SBox), slcontainsr(SBox, SPoint), slcontainsr(SBox, SCircle), slcontainsr(SCircle, SBox), slcontainsr(SBox, SLine), slcontainsr(SBox, SEllipse), slcontainsr(SEllipse, SBox), slcontainsr(SBox, SPoly), slcontainsr(SPoly, SBox), slcontainsr(SBox, SPath), slcontainsr(SCircle, SCircle), slcontainsr(SCircle, SPoint), slcontainsr(SEllipse, SEllipse), slcontainsr(SEllipse, SPoint), slcontainsr(SEllipse, SCircle), slcontainsr(SCircle, SEllipse), slcontainsr(SEllipse, SLine), slcontainsr(SLine, SPoint), slcontainsr(SCircle, SLine), slcontainsr(SPath, SPoint), slcontainsr(SCircle, SPath), slcontainsr(SEllipse, SPath), slcontainsr(SPoly, SPath), slcontainsr(SPoly, SPoly), slcontainsr(SPoly, SPoint), slcontainsr(SPoly, SCircle), slcontainsr(SCircle, SPoly), slcontainsr(SPoly, SLine), slcontainsr(SPoly, SEllipse), slcontainsr(SEllipse, SPoly)"
"srnotcontainsl","Returns true if the left object is not contained by the right object. srnotcontainsl(SBox, SBox), srnotcontainsl(SPoint, SBox), srnotcontainsl(SCircle, SBox), srnotcontainsl(SBox, SCircle), srnotcontainsl(SLine, SBox), srnotcontainsl(SEllipse, SBox), srnotcontainsl(SBox, SEllipse), srnotcontainsl(SPoly, SBox), srnotcontainsl(SBox, SPoly), srnotcontainsl(SPath, SBox), srnotcontainsl(SCircle, SCircle), srnotcontainsl(SPoint, SCircle), srnotcontainsl(SEllipse, SEllipse), srnotcontainsl(SPoint, SEllipse), srnotcontainsl(SCircle, SEllipse), srnotcontainsl(SEllipse, SCircle), srnotcontainsl(SLine, SEllipse), srnotcontainsl(SPoint, SLine), srnotcontainsl(SLine, SCircle), srnotcontainsl(SPoint, SPath), srnotcontainsl(SPath, SCircle), srnotcontainsl(SPath, SEllipse), srnotcontainsl(SPath, SPoly), srnotcontainsl(SPoly, SPoly), srnotcontainsl(SPoint, SPoly), srnotcontainsl(SCircle, SPoly), srnotcontainsl(SPoly, SCircle), srnotcontainsl(SLine, SPoly), srnotcontainsl(SEllipse, SPoly), srnotcontainsl(SPoly, SEllipse)"
"slnotcontainsr","Returns true if the right object is not contained by the left object. slnotcontainsr(SBox, SBox), slnotcontainsr(SBox, SPoint), slnotcontainsr(SBox, SCircle), slnotcontainsr(SCircle, SBox), slnotcontainsr(SBox, SLine), slnotcontainsr(SBox, SEllipse), slnotcontainsr(SEllipse, SBox), slnotcontainsr(SBox, SPoly), slnotcontainsr(SPoly, SBox), slnotcontainsr(SBox, SPath), slnotcontainsr(SCircle, SCircle), slnotcontainsr(SCircle, SPoint), slnotcontainsr(SEllipse, SEllipse), slnotcontainsr(SEllipse, SPoint), slnotcontainsr(SEllipse, SCircle), slnotcontainsr(SCircle, SEllipse), slnotcontainsr(SEllipse, SLine), slnotcontainsr(SLine, SPoint), slnotcontainsr(SCircle, SLine), slnotcontainsr(SPath, SPoint), slnotcontainsr(SCircle, SPath), slnotcontainsr(SEllipse, SPath), slnotcontainsr(SPoly, SPath), slnotcontainsr(SPoly, SPoly), slnotcontainsr(SPoly, SPoint), slnotcontainsr(SPoly, SCircle), slnotcontainsr(SCircle, SPoly), slnotcontainsr(SPoly, SLine), slnotcontainsr(SPoly, SEllipse), slnotcontainsr(SEllipse, SPoly)"
"soverlaps","Returns true if two objects are overlapping and false if not. soverlaps(object, object) supports every combination except SPoints"
"snotoverlaps","Returns true if two objects are not overlapping and false if they are. snotoverlaps(object, object) supports every combination except SPoints"
"sequal","Retruns true if two mysql_sphere objects are equal and false if not. sequal(SBox, SBox), sequal(SCircle, SCirlce), sequal(SEllipse, SEllipse), sequal(STransform, STransform), sequal(SLine, SLine), sequal(SPath, SPath), sequal(SPoint, SPoint), sequal(SPoly, SPoly)"
"snotequal","Retruns true if two mysql_sphere objects are not equal and false if they are. snotequal(SBox, SBox), snotequal(SCircle, SCirlce), snotequal(SEllipse, SEllipse), snotequal(STransform, STransform), snotequal(SLine, SLine), snotequal(SPath, SPath), snotequal(SPoint, SPoint), snotequal(SPoly, SPoly)"
"stransform","Transforms a given object according to an Euler transformation object. stransform(SCircle, STrans), stransform(SEllipse, STrans), stransform(STrans, STrans), stransform(SPoint, STrans), stransform(SLine, STrans), stransform(SPath, STrans), stransform(SPoly, STrans)"
"sinverse","Inverse transforms a given object according to an Euler transformation object. sinverse(SCircle, STrans), sinverse(SEllipse, STrans), sinverse(STrans, STrans), sinverse(SPoint, STrans), sinverse(SLine, STrans), sinverse(SPath, STrans), sinverse(SPoly, STrans)"
"spoint","Defines a point on a sphere. spoint(long, lat) or spoint(geom_string) or spoint(SPath, i)"
"spoint_long","Returns the longitude of a spoint object. spoint_long(SPoint)"
"spoint_lat","Returns the latitude of a spoint object. spoint_lat(SPoint)"
"spoint_x","Returns the x value of a spoint object. spoint_x(SPoint)"
"spoint_y","Returns the y value of a spoint object. spoint_y(SPoint)"
"spoint_z","Returns the z value of a spoint object. spoint_z(SPoint)"
"spoint_equal","Returns true if two spoint objects are equal and false if not. spoint_equal(SPoint, SPoint)"
"strans","Defines an Euler transformation on a sphere. A Euler transformation is done with three counterclockwise object rotations around the following axes: x-axis, y-axis, or z-axis. strans(phi, theta, psi) or strans(phi, theta, psi, trans_axis_string), strans(SLine), strans(SEllipse) or strans(trans_string)"
"strans_point","Transforms a given spoint objects according to an Euler transformation object. strans_point(SPoint, SEuler)"
"strans_point_inverse","Inverse transforms a given spoint objects according to an Euler transformation object. strans_point_inverse(SPoint, SEuler)"
"strans_equal","Returns true if two strans objects are equal and false if not. strans_equal(SEuler, SEuler)"
"strans_equal_neg","Returns true if tow strans objects are not equal and true if they are. strans_equal_neg(SEuler, SEuler)"
"strans_phi","Returns the first angle of a transformation object. strans_phi(SEuler)"
"strans_theta","Returns the second angle of a transformation object. strans_theta(SEuler)"
"strans_psi","Returns the third angle of a transformation object. strans_psi(SEuler)"
"strans_axes","Returns the transformation axes as a three letter code of a transformation object. strans_axes(SEuler)"
"strans_invert","Returns the inverse of a given Euler transformation. strans_invert(SEuler)"
"strans_zxz","Convert an Euler transformation into a ZXZ-axes transformation. strans_zxz(SEuler)"
"strans_trans","Transforms a given strans object according to an Euler transformation object. strans_trans(SEuler, SEuler)"
"strans_trans_inv","Inverse transforms a given strans object according to an Euler transformation object. strans_trans_inv(SEuler, SEuler)"
"scircle","Defines a circle on a sphere. scircle(spoint, rad), scircle(SPoint), scircle(SEllipse) or scircle(circle_string)"
"scircle_radius","Returns the radius of a scircle object. scircle_radius(SCircle)"
"scircle_equal","Returns true if two scircle objects are equal and false if not. scircle_equal(SCircle, SCircle)"
"scircle_equal_neg","Returns true if tow scircle objects are not equal and true if they are. scircle_equal_neg(SCircle, SCircle)"
"scircle_overlap","Returns true if two scircle objects overlap and false if they don't. scircle_overlap(SCircle, SCircle)"
"scircle_overlap_neg","Returns true if two scircle objects donot overlap eachother and false if they do. scircle_overlap_neg(SCircle, SCircle)"
"scircle_contained_by_circle","Returns true if the right scircle contains the left one and false if not. scircle_contained_by_circle(SCircle, SCircle)"
"scircle_contained_by_circle_neg","Returns true if the right scircle does not contain the left one and false if it does. scircle_contained_by_circle_neg(SCircle, SCircle)"
"scircle_contains_circle","Returns true if the left scircle contains the right one and false if not. scircle_contains_circle(SCircle, SCircle)"
"scircle_contains_circle_neg","Returns true if the left scircle does not contain the right one and false if it does. scircle_contains_circle_neg(SCircle, SCircle)"
"spoint_contained_by_circle","Returns true if a given spoint is containd by a scircle and false if not. spoint_contained_by_circle(SPoint, SCircle), spoint_contained_by_circle(SCircle, SPoint)"
"spoint_contained_by_circle_neg","Returns true if a given spoint is not containd by a scircle and false if it is. spoint_contained_by_circle_neg(SPoint, SCircle), spoint_contained_by_circle_neg(SCircle, SPoint)"
"spoint_contained_by_circle_com","Returns true if the right spoint is contained in the left scircle and false if not. spoint_contained_by_circle_com(SCircle, SPoint)"
"spoint_contained_by_circle_com_neg","Returns true if the right spoint is not contained in the left scircle and false if it is. spoint_contained_by_circle_com_neg(SCircle, SPoint)"
"strans_circle","Transforms a given scircle object according to an Euler transformation object. strans_circle(SCircle, SEuler)"
"strans_circle_inverse","Inverse transforms a given scircle object according to an Euler transformation object. strans_circle_inverse(SCircle, SEuler)"
"sline","Defines a line on a sphere. A spherical line is part of a great circle (meridian) that has a beginning and an end and hence, a direction. sline(SPoint, SPoint), sline(STrans, double), sline(SPoint) or sline(line_string)"
"smeridian","Returns a meridian line at a given longitude. smeridian(double)"
"sline_beg","Returns the beginning of a sline object. sline_beg(SLine)"
"sline_end","Returns the end of a sline object. sline_end(SLine)"
